"","time_stamp","event","worker_id","consent_date","test1","test2","test3","test4","qualification_score","test_duration","feedback","gender","years_programming","difficulty","country","age","adjusted_score","gender_id","country_labels","country_id","is_student","is_fast","testDuration_fastMembership","profession"
"1","2014 10 24 08:59:53.139000","CONSENT","0_1","1.414155593137E12","false","true","false","false",1,1.29331666666667,NA,NA,NA,NA,"OTHER",NA,0.71219762968042,NA,"OTHER","3",NA,TRUE,0.517260136370241,"other"
"2","2014 10 24 08:59:58.462000","CONSENT","1_1","1.414155598462E12","false","false","false","true",1,2.54398333333333,NA,NA,NA,NA,"OTHER",NA,0.540576584990148,NA,"OTHER","3",NA,FALSE,0.364810806246404,"other"
"3","2014 10 24 09:00:21.293000","CONSENT","2_1","1.414155621293E12","false","false","false","true",1,1.70965,NA,NA,NA,NA,"OTHER",NA,0.540576584990148,NA,"OTHER","3",NA,FALSE,0.449129046985496,"other"
"4","2014 10 24 09:00:28.829000","CONSENT","3_1","1.414155628829E12","false","true","false","true",2,3.88886666666667,NA,NA,NA,NA,"OTHER",NA,1.19394940552886,NA,"OTHER","3",NA,FALSE,0.322180356398825,"other"
"5","2014 10 24 09:00:30.614000","CONSENT","4_1","1.414155630614E12","false","true","false","false",1,1.306,NA,NA,NA,NA,"OTHER",NA,0.71219762968042,NA,"OTHER","3",NA,TRUE,0.514908031028696,"other"
"6","2014 10 24 09:00:34.185000","CONSENT","5_1","1.414155634185E12","false","false","true","false",1,1.87656666666667,NA,NA,NA,NA,"OTHER",NA,3.29411676115972,NA,"OTHER","3",NA,FALSE,0.427029492221311,"other"
"7","2014 10 24 09:00:35.395000","CONSENT","6_1","1.414155635395E12","false","false","false","true",1,8.28288333333333,NA,NA,NA,NA,"OTHER",NA,0.540576584990148,NA,"OTHER","3",NA,FALSE,0.333804504512122,"other"
"8","2014 10 24 09:00:38.965000","CONSENT","7_1","1.414155638965E12","false","false","false","true",1,1.04256666666667,NA,NA,NA,NA,"OTHER",NA,0.540576584990148,NA,"OTHER","3",NA,TRUE,0.567122390124185,"other"
"9","2014 10 24 09:00:45.760000","CONSENT","8_1","1.41415564576E12","true","true","true","true",4,3.75998333333333,"very nice task","Male",3,7,"INDIA",25,4,"2","INDIA","2","0",FALSE,0.33597950574933,"non-student"
"10","2014 10 24 09:00:56.478000","CONSENT","9_1","1.414155656478E12","false","false","true","false",1,0.845666666666667,NA,NA,NA,NA,"OTHER",NA,3.29411676115972,NA,"OTHER","3",NA,TRUE,0.610266931468946,"other"
"11","2014 10 24 09:01:05.690000","CONSENT","11_1","1.414155665069E12","false","false","false","false",0,0.8503,NA,NA,NA,NA,"OTHER",NA,0,NA,"OTHER","3",NA,TRUE,0.609217961419739,"other"
"12","2014 10 24 09:01:05.582000","CONSENT","12_1","1.414155665582E12","false","false","false","false",0,1.63173333333333,NA,NA,NA,NA,"OTHER",NA,0,NA,"OTHER","3",NA,FALSE,0.460451002565736,"other"
"13","2014 10 24 09:01:10.142000","CONSENT","14_1","1.414155670142E12","false","false","false","false",0,1.59235,NA,NA,NA,NA,"OTHER",NA,0,NA,"OTHER","3",NA,FALSE,0.466422444738972,"other"
"14","2014 10 24 09:01:32.176000","CONSENT","16_1","1.414155692176E12","false","false","false","true",1,1.72643333333333,NA,NA,NA,NA,"OTHER",NA,0.540576584990148,NA,"OTHER","3",NA,FALSE,0.446775144589666,"other"
"15","2014 10 24 09:01:33.248000","CONSENT","17_1","1.414155693248E12","true","true","true","false",3,3.38665,NA,NA,NA,NA,"OTHER",NA,3.82806800487549,NA,"OTHER","3",NA,FALSE,0.329645323127766,"other"
