"","time_stamp","event","worker_id","file_name","consent_date","language","profession","gender","learned","years_programming","country","age","test1","test2","test3","test4","test5","qualification_score","test_duration","feedback","quit_reason","profession_id","adjusted_score","file_name_id","gender_id","country_labels","country_id","testDuration_fastMembership","is_fast"
"1","Tue2015Jul0708:44:29.407","CONSENT","2ag5c3i5-96_3","HIT02_24",1436271348336,"visual basics","Hobbyist","Male","High_School",2,"US",28,"0","1","0","0","0",1,1.15,NA,NA,"3",1.16101277925714,"2","2","US","1",0.164736695632286,TRUE
"2","Tue2015Jul0708:37:49.595","CONSENT","3AI7C4g38-9_3","HIT02_24",1436271352812,"HTML","Hobbyist","Male","High_School;Web",12,"US",28,"0","1","0","1","1",3,2.86188333333333,"I was unsure about this task. ",NA,"3",2.21854248051683,"2","2","US","1",0.367558313180135,TRUE
"3","Tue2015Jul0708:23:57.685","CONSENT","4eG-9C1c924_3","HIT02_24",1436271367805,"python","Hobbyist","Male","Web;Other_books",5,"US",33,"0","1","0","1","0",2,7.83133333333333,NA,NA,"3",1.56374929686357,"2","2","US","1",0.934527718968778,FALSE
"4","Tue2015Jul0708:18:01.785","CONSENT","6ai-7g6e2-1-5_3","HIT02_24",1436271369601,"Java","Hobbyist","Male","Web",0,"US",28,"0","0","0","1","1",2,1.86973333333333,NA,NA,"3",1.56551098451035,"2","2","US","1",0.239651871629753,TRUE
"5","Tue2015Jul0708:21:35.711","CONSENT","7aI-8i9g6-3-5_3","HIT02_24",1436271370663,"C++; Python","Hobbyist","Male","High_School;Web",5,"US",35,"1","0","0","1","0",2,5.41746666666667,NA,NA,"3",2.22980555564353,"2","2","US","1",0.729860322929916,FALSE
"6","Tue2015Jul0708:18:49.408","CONSENT","8cG4c-7e-460_3","HIT02_24",1436271386556,"Javascript","Undergraduate_Student","Female","University;Web",2,"US",22,"0","1","0","0","0",1,2.38086666666667,NA,NA,"5",1.16101277925714,"2","1","US","1",0.335510832711144,TRUE
"7","Tue2015Jul0709:21:39.428","CONSENT","358ig-7C7C5-1-2:10EI0c-3A0-3-9_3","HIT02_24",1436271398036,"SQL","Professional","Male","University",5,"US",32,"1","0","1","1","0",4,5.08443333333333,"I enjoyed this and thought it was interesting",NA,"1",4.07180604131695,"2","2","US","1",0.619895172128102,TRUE
"8","Tue2015Jul0708:20:27.127","CONSENT","11ga7i-5C-15-1_3","HIT02_24",1436271399590,"unknown","Hobbyist","Female","Web",0,"US",29,"0","0","0","0","0",0,3.79228333333333,NA,NA,"3",0,"2","1","US","1",0.503110304085428,TRUE
"9","Tue2015Jul0708:19:39.616","CONSENT","14Ca0I-1G-602_3","HIT02_24",1436271445810,"java","Hobbyist","Male","Web",1,"US",23,"0","0","0","0","0",0,2.2301,NA,NA,"3",0,"2","2","US","1",0.283200249785466,TRUE
"10","Tue2015Jul0709:19:25.449","CONSENT","27Ei-8i0A-3-59:15cG-7i7C996_3","HIT02_24",1436271498276,"RPG; Visual Basic","Professional","Male","High_School;University",23,"US",44,"1","0","1","1","1",3.66666666666667,12.3009333333333,"Very much enjoyed that. I haven't coded in a while so it was great to flex that part of my brain again. I love troubleshooting code in languages I don't know. It is really fun.",NA,"1",3.64579736921368,"2","2","US","1",0.983902970798564,FALSE
"11","Tue2015Jul0708:37:00.234","CONSENT","23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3","HIT02_24",1436271505954,"Java","Professional","Male","High_School;University;Web",8,"US",29,"1","1","1","1","1",4.5,3.89838333333333,"I'd like to be able to go back; as I noticed something on the last question that I did not see earlier.",NA,"1",4.44738663857447,"2","2","US","1",0.501326418401294,TRUE
"12","Tue2015Jul0708:21:10.998","CONSENT","17ge4i-2g-785_3","HIT02_24",1436271523685,"none","Hobbyist","Female","University;Web",0,"US",39,"1","0","0","0","0",1,2.45521666666667,NA,NA,"3",1.91513709514047,"2","1","US","1",0.312203641182774,TRUE
"13","Tue2015Jul0708:26:45.946","CONSENT","18GA-4a-5e-5-8-5_3","HIT02_24",1436271550136,"javascript; python","Undergraduate_Student","Male","University;Web",1,"US",22,"1","0","1","1","1",4,7.59683333333333,NA,NA,"5",3.89689001250358,"2","2","US","1",0.93962812128289,FALSE
"14","Tue2015Jul0708:21:08.274","CONSENT","19AA-4C4C-661_3","HIT02_24",1436271559149,"A+","Graduate_Student","Female","Web",1,"US",35,"0","1","0","1","0",2,1.81875,NA,NA,"4",1.56374929686357,"2","1","US","1",0.291465108103929,TRUE
"15","Tue2015Jul0708:25:13.365","CONSENT","20ge-8c-5c047_3","HIT02_24",1436271584522,"PHP","Hobbyist","Female","Web;Other_Self_taught",8,"US",37,"0","0","0","1","0",1,5.48071666666667,NA,NA,"3",0.67113007608519,"2","1","US","1",0.737585918375211,FALSE
"16","Tue2015Jul0713:10:38.481","CONSENT","21cI-1i9c-41-7_3","HIT02_24",1436271616340,"C; Java","Professional","Female","University;Web",8,"INDIA",27,"1","1","1","1","1",5,5.08443333333333,"Its very hard task; but I am capable to do this",NA,"1",5,"2","1","INDIA","2",0.619895172128102,TRUE
"17","Tue2015Jul0708:23:53.045","CONSENT","22gi-2G-3A-36-9_3","HIT02_24",1436271632933,"C","Hobbyist","Male","High_School;Web",10,"US",34,"0","1","0","0","0",1,3.3352,NA,NA,"3",1.16101277925714,"2","2","US","1",0.43555612980609,TRUE
"18","Tue2015Jul0708:24:22.863","CONSENT","24Ci-3C-6i11-5_3","HIT02_24",1436271794579,"Java","Undergraduate_Student","Male","University",1,"US",34,"0","0","1","0","0",1,1.13806666666667,NA,NA,"5",1.55405620961436,"2","2","US","1",0.18521686069855,TRUE
"19","Tue2015Jul0708:38:25.716","CONSENT","30EC-5i7E-4-6-5_3","HIT02_24",1436271899254,"None","Hobbyist","Male","Other_None",0,"US",24,"0","0","0","1","0",1,2.51346666666667,NA,NA,"3",0.67113007608519,"2","2","US","1",0.319912401948845,TRUE
"20","Tue2015Jul0708:32:38.090","CONSENT","33cE-5G3g-5-4-7_3","HIT02_24",1436271959429,"PHP","Hobbyist","Female","Web",8,"US",37,"0","0","0","1","1",2,6.64435,NA,NA,"3",1.56551098451035,"2","1","US","1",0.857422534219207,FALSE
"21","Tue2015Jul0708:54:49.644","CONSENT","35Eg-6i-8G-2-6-8_3","HIT02_24",1436271978727,"php","Undergraduate_Student","Female","University",3,"US",49,"0","1","0","1","1",3,6.49896666666667,"I'm not sure what's going on here",NA,"5",2.21854248051683,"2","1","US","1",0.871950911856734,FALSE
"22","Tue2015Jul0708:31:02.808","CONSENT","37gG-2g4e932_3","HIT02_24",1436272032658,"none","Hobbyist","Female","Other_no_where",0,"US",21,"0","0","0","1","1",2,3.83583333333333,NA,NA,"3",1.56551098451035,"2","1","US","1",0.509572798527291,TRUE
"23","Tue2015Jul0708:28:49.047","CONSENT","38Ag-2A8C-2-19_3","HIT02_24",1436272038576,"Java","Graduate_Student","Female","High_School;University;Web",8,"US",26,"0","0","0","0","0",0,1.50785,NA,NA,"4",0,"2","1","US","1",0.257894784691221,TRUE
"24","Tue2015Jul0708:47:11.362","CONSENT","41ig8g9E-790_3","HIT02_24",1436272091596,"Java","Graduate_Student","Male","University",2,"INDIA",26,"0","0","0","1","0",1,14.60075,NA,NA,"4",0.67113007608519,"2","2","INDIA","2",0.999836296343698,FALSE
"25","Tue2015Jul0708:32:49.159","CONSENT","42IE2A-6G-99-7_3","HIT02_24",1436272177729,"C","Hobbyist","Female","High_School",1,"US",49,"0","0","1","1","0",2,3.1905,NA,NA,"3",1.90068742390053,"2","1","US","1",0.414464037255693,TRUE
"26","Tue2015Jul0708:38:04.742","CONSENT","43CC4C7e-8-5-1_3","HIT02_24",1436272187062,"none","Other","Female","Other_no",0,"US",62,"0","0","0","0","1",1,8.29466666666667,NA,NA,"6",1.16313350589773,"2","1","US","1",0.851577007709405,FALSE
"27","Tue2015Jul0708:38:05.051","CONSENT","44aI-3I-4i9-1-8_3","HIT02_24",1436272208790,"C","Professional","Male","University",4,"US",25,"0","0","0","1","1",2,6.77361666666667,NA,NA,"1",1.56551098451035,"2","2","US","1",0.768874913741481,FALSE
"28","Tue2015Jul0708:31:45.383","CONSENT","45GI4e4I-2-75_3","HIT02_24",1436272227394,"english","Graduate_Student","Male","University",1,"OTHER",25,"0","0","0","1","1",2,1.29981666666667,NA,NA,"4",1.56551098451035,"2","2","OTHER","3",0.23660761245565,TRUE
"29","Tue2015Jul0708:39:43.377","CONSENT","46Ga-3A6e722_3","HIT02_24",1436272327376,"Java","Hobbyist","Male","Web",3,"INDIA",32,"0","1","0","1","0",2,7.60001666666667,NA,NA,"3",1.56374929686357,"2","2","INDIA","2",0.922825104092174,FALSE
"30","Tue2015Jul0708:41:08.725","CONSENT","47iE8g8E488_3","HIT02_24",1436272404242,"html","Other","Male","Web",1,"INDIA",32,"0","1","0","1","0",2,6.07886666666667,NA,NA,"6",1.56374929686357,"2","2","INDIA","2",0.686124030157618,FALSE
"31","Tue2015Jul0708:40:41.134","CONSENT","50AE8e9G-550_3","HIT02_24",1436272444793,NA,"Other","Female","University",0,"US",25,"0","0","0","1","0",1,6.60568333333333,NA,NA,"6",0.67113007608519,"2","1","US","1",0.731593127045052,FALSE
"32","Tue2015Jul0708:50:00.807","CONSENT","54gG-7g7A92-5_3","HIT02_24",1436272629108,"j++","Undergraduate_Student","Male","University",1,"INDIA",29,"0","1","0","0","0",1,11.6653333333333,NA,NA,"5",1.16101277925714,"2","2","INDIA","2",0.999010190729115,FALSE
"33","Tue2015Jul0709:07:41.368","CONSENT","59aa7c-2A0-38_3","HIT01_8",1436272682486,"SQL","Programmer","Male","Other_On_the_job",7,"US",36,"0","0","0","0","0",0,12.6832833333333,NA,NA,"2",0,"1","2","US","1",0.963662958080542,FALSE
"34","Tue2015Jul0708:40:24.345","CONSENT","61iC9c1G968_3","HIT01_8",1436272705733,"C++","Hobbyist","Male","Web",1,"US",29,"0","0","0","1","1",2,1.97686666666667,NA,NA,"3",1.56551098451035,"1","2","US","1",0.252204843150688,TRUE
"35","Tue2015Jul0709:06:57.999","CONSENT","64ee4e0C-38-1_3","HIT01_8",1436272735488,"english","Professional","Female","University",5,"INDIA",29,"0","0","0","0","0",0,5.08443333333333,NA,NA,"1",0,"1","1","INDIA","2",0.619895172128102,TRUE
"36","Tue2015Jul0708:41:41.285","CONSENT","67aC0C4E810_3","HIT01_8",1436272772732,"C++","Undergraduate_Student","Female","Web",0,"US",27,"0","0","0","0","0",0,2.14255,NA,NA,"5",0,"1","1","US","1",0.303259775056485,TRUE
"37","Tue2015Jul0708:41:19.134","CONSENT","68Ie9I8e0-7-3_3","HIT01_8",1436272776405,"English","Graduate_Student","Male","High_School;University;Web",5,"INDIA",24,"0","0","1","0","1",2,1.71215,NA,NA,"4",2.21049490000961,"1","2","INDIA","2",0.279727638077708,TRUE
"38","Tue2015Jul0708:56:12.772","CONSENT","70aA-7a-2A5-15_3","HIT01_8",1436272781725,"J2EE; VB.NET; JAVA","Graduate_Student","Male","University",8,"INDIA",26,"1","0","0","0","0",1,4.31256666666667,NA,NA,"4",1.91513709514047,"1","2","INDIA","2",0.602163747657357,FALSE
"39","Tue2015Jul0709:34:51.759","CONSENT","33ac-3i3I5-8-3:72ag4C-7e4-1-9_3","HIT01_8",1436272807697,"Python; Elixir","Hobbyist","Male","Web",13,"US",39,"1","1","1","1","1",5,7.32193333333333,"It isn't quite clear how you want us to respond to these questions. You ask specifically about the highlighted piece of code. You seem to want us to answer whether that section of code causes the specific problem seen.    If the highlighted code has other problems we should ignore that? If we know where the problem is and it is not in the highlighted region should we cite that as our explanation or do you want our answer to be justified by the highlighted code. For example; provide an explanation why the highlighted code can't be causing the problems seen.    I spotted the error almost immediately but it took me a while to figure out what to say in terms of explanation because the error wasn't in the highlighted section. With no examples I really had to guess at the type of feedback you wanted. Some examples of code with errors documented would go a long way in clarifying this task and would make it much easier.    It really is unclear if your goal is to find the error and the highlighted code is just a suggesting of where to start looking or if you want people to give reasons why the highlighted code may or may not be the problem. The first case might represent a situation where you are simply trying to judge how effective or harmful suggestions are in finding errors. Do false positives cause fewer error to be detected? The latter case may be geared towards collecting data to improve automated debugging tools. The feedback could be used to build models that rate the probability a certain section of code is causing the error. Then again you could have a different purpose entirely. I suspect though that a few examples would greatly improve the quality of response you receive.    Thank you.",NA,"3",5,"1","2","US","1",0.906729747351084,FALSE
"40","Tue2015Jul0709:09:41.566","CONSENT","832cg-7G1i-462:73eI-8E-2g-985_3","HIT01_8",1436272817474,"Java; C++; C#","Undergraduate_Student","Male","High_School;Web",7,"US",21,"1","1","1","0","1",4.5,3.81235,"Enjoyable! Was fun working out if there was a problem.",NA,"5",4.68812564395633,"1","2","US","1",0.546832892618249,TRUE
"41","Tue2015Jul0708:44:38.772","CONSENT","75aE-6i4E-140_3","HIT01_8",1436272820111,"C#","Professional","Male","High_School;University;Other_On_the_job",20,"US",38,"1","1","1","1","0",4,4.31101666666667,NA,NA,"1",3.89477327714893,"1","2","US","1",0.543141279623715,TRUE
"42","Tue2015Jul0708:41:25.729","CONSENT","76Ci9E-1i0-6-9_3","HIT01_8",1436272837831,"Java C++","Hobbyist","Male","University",7,"US",29,"0","1","0","1","0",2,0.7983,NA,NA,"3",1.56374929686357,"1","2","US","1",0.134360412413484,TRUE
"43","Tue2015Jul0709:52:55.175","CONSENT","81Ag0a-3A550_3","HIT01_8",1436272883460,"Cobal","Hobbyist","Male","University",0,"US",60,"0","0","0","0","0",0,4.811475,NA,NA,"3",0,"1","2","US","1",0.650604139675481,FALSE
"44","Tue2015Jul0711:29:11.423","CONSENT","85EG-9G-9A73-8_3","HIT02_24",1436273016495,"None","Other","Female","Other_na",0,"US",38,"0","1","0","1","1",3,4.1688,"Hope I did okay. I did minimal coding years ago on a TRS-80!",NA,"6",2.21854248051683,"2","1","US","1",0.501437497251953,TRUE
